src,dst,edge_type
cfRNA_15,cfRNA_12,similarity
cfRNA_15,cfRNA_45,similarity
cfRNA_15,cfRNA_49,similarity
cfRNA_15,cfRNA_98,similarity
cfRNA_15,cfRNA_41,similarity
cfRNA_15,cfRNA_42,similarity
cfRNA_15,cfRNA_14,similarity
cfRNA_16,cfRNA_30,similarity
cfRNA_16,cfRNA_26,similarity
cfRNA_16,cfRNA_2,similarity
cfRNA_16,cfRNA_20,similarity
cfRNA_16,cfRNA_10,similarity
cfRNA_16,cfRNA_21,similarity
cfRNA_16,cfRNA_18,similarity
cfRNA_16,cfRNA_204,similarity
cfRNA_16,cfRNA_101,similarity
cfRNA_16,cfRNA_5,similarity
cfRNA_17,cfRNA_82,similarity
cfRNA_17,cfRNA_134,similarity
cfRNA_17,cfRNA_6,similarity
cfRNA_17,cfRNA_203,similarity
cfRNA_17,cfRNA_43,similarity
cfRNA_17,cfRNA_24,similarity
cfRNA_17,cfRNA_11,similarity
cfRNA_17,cfRNA_128,similarity
cfRNA_17,cfRNA_131,similarity
cfRNA_17,cfRNA_133,similarity
cfRNA_18,cfRNA_0,similarity
cfRNA_18,cfRNA_16,similarity
cfRNA_18,cfRNA_30,similarity
cfRNA_18,cfRNA_5,similarity
cfRNA_18,cfRNA_10,similarity
cfRNA_18,cfRNA_2,similarity
cfRNA_18,cfRNA_101,similarity
cfRNA_18,cfRNA_21,similarity
cfRNA_18,cfRNA_19,similarity
cfRNA_18,cfRNA_20,similarity
cfRNA_19,cfRNA_30,similarity
cfRNA_19,cfRNA_196,similarity
cfRNA_19,cfRNA_0,similarity
cfRNA_19,cfRNA_5,similarity
cfRNA_19,cfRNA_10,similarity
cfRNA_19,cfRNA_101,similarity
cfRNA_19,cfRNA_2,similarity
cfRNA_19,cfRNA_21,similarity
cfRNA_19,cfRNA_18,similarity
cfRNA_19,cfRNA_20,similarity
cfRNA_20,cfRNA_30,similarity
cfRNA_20,cfRNA_196,similarity
cfRNA_20,cfRNA_0,similarity
cfRNA_20,cfRNA_5,similarity
cfRNA_20,cfRNA_10,similarity
cfRNA_20,cfRNA_101,similarity
cfRNA_20,cfRNA_2,similarity
cfRNA_20,cfRNA_21,similarity
cfRNA_20,cfRNA_19,similarity
cfRNA_20,cfRNA_18,similarity
cfRNA_21,cfRNA_204,similarity
cfRNA_21,cfRNA_30,similarity
cfRNA_21,cfRNA_16,similarity
cfRNA_21,cfRNA_2,similarity
cfRNA_21,cfRNA_10,similarity
cfRNA_21,cfRNA_101,similarity
cfRNA_21,cfRNA_5,similarity
cfRNA_21,cfRNA_19,similarity
cfRNA_21,cfRNA_18,similarity
cfRNA_21,cfRNA_20,similarity
cfRNA_22,cfRNA_10,similarity
cfRNA_22,cfRNA_18,similarity
cfRNA_22,cfRNA_30,similarity
cfRNA_22,cfRNA_196,similarity
cfRNA_22,cfRNA_20,similarity
cfRNA_22,cfRNA_29,similarity
cfRNA_22,cfRNA_0,similarity
cfRNA_22,cfRNA_2,similarity
cfRNA_22,cfRNA_19,similarity
cfRNA_22,cfRNA_23,similarity
cfRNA_23,cfRNA_5,similarity
cfRNA_23,cfRNA_30,similarity
cfRNA_23,cfRNA_101,similarity
cfRNA_23,cfRNA_0,similarity
cfRNA_23,cfRNA_18,similarity
cfRNA_23,cfRNA_10,similarity
cfRNA_23,cfRNA_21,similarity
cfRNA_23,cfRNA_20,similarity
cfRNA_23,cfRNA_2,similarity
cfRNA_23,cfRNA_19,similarity
cfRNA_24,cfRNA_82,similarity
cfRNA_24,cfRNA_193,similarity
cfRNA_24,cfRNA_8,similarity
cfRNA_24,cfRNA_196,similarity
cfRNA_24,cfRNA_11,similarity
cfRNA_24,cfRNA_133,similarity
cfRNA_24,cfRNA_36,similarity
cfRNA_24,cfRNA_203,similarity
cfRNA_24,cfRNA_6,similarity
cfRNA_24,cfRNA_43,similarity
cfRNA_25,cfRNA_181,similarity
cfRNA_25,cfRNA_75,similarity
cfRNA_25,cfRNA_55,similarity
cfRNA_25,cfRNA_127,similarity
cfRNA_25,cfRNA_70,similarity
cfRNA_25,cfRNA_178,similarity
cfRNA_25,cfRNA_125,similarity
cfRNA_25,cfRNA_44,similarity
cfRNA_25,cfRNA_102,similarity
cfRNA_25,cfRNA_106,similarity
cfRNA_26,cfRNA_27,similarity
cfRNA_26,cfRNA_16,similarity
cfRNA_26,cfRNA_196,similarity
cfRNA_26,cfRNA_6,similarity
cfRNA_26,cfRNA_19,similarity
cfRNA_26,cfRNA_21,similarity
cfRNA_26,cfRNA_2,similarity
cfRNA_26,cfRNA_18,similarity
cfRNA_26,cfRNA_20,similarity
cfRNA_26,cfRNA_5,similarity
cfRNA_27,cfRNA_18,similarity
cfRNA_27,cfRNA_2,similarity
cfRNA_27,cfRNA_10,similarity
cfRNA_27,cfRNA_20,similarity
cfRNA_27,cfRNA_16,similarity
cfRNA_27,cfRNA_21,similarity
cfRNA_27,cfRNA_7,similarity
cfRNA_27,cfRNA_204,similarity
cfRNA_27,cfRNA_5,similarity
cfRNA_27,cfRNA_26,similarity
cfRNA_28,cfRNA_5,similarity
cfRNA_28,cfRNA_88,similarity
cfRNA_28,cfRNA_82,similarity
cfRNA_28,cfRNA_79,similarity
cfRNA_28,cfRNA_47,similarity
cfRNA_28,cfRNA_32,similarity
cfRNA_28,cfRNA_26,similarity
cfRNA_28,cfRNA_7,similarity
cfRNA_28,cfRNA_71,similarity
cfRNA_28,cfRNA_27,similarity
cfRNA_29,cfRNA_5,similarity
cfRNA_29,cfRNA_31,similarity
cfRNA_29,cfRNA_101,similarity
cfRNA_29,cfRNA_21,similarity
cfRNA_29,cfRNA_19,similarity
cfRNA_29,cfRNA_10,similarity
cfRNA_29,cfRNA_2,similarity
cfRNA_29,cfRNA_20,similarity
cfRNA_29,cfRNA_18,similarity
cfRNA_29,cfRNA_30,similarity
cfRNA_30,cfRNA_16,similarity
cfRNA_30,cfRNA_19,similarity
cfRNA_30,cfRNA_101,similarity
cfRNA_30,cfRNA_2,similarity
cfRNA_30,cfRNA_20,similarity
cfRNA_30,cfRNA_5,similarity
cfRNA_30,cfRNA_21,similarity
cfRNA_30,cfRNA_10,similarity
cfRNA_30,cfRNA_18,similarity
cfRNA_30,cfRNA_29,similarity
cfRNA_31,cfRNA_0,similarity
cfRNA_31,cfRNA_82,similarity
cfRNA_31,cfRNA_16,similarity
cfRNA_31,cfRNA_18,similarity
cfRNA_31,cfRNA_5,similarity
cfRNA_31,cfRNA_6,similarity
cfRNA_31,cfRNA_29,similarity
cfRNA_31,cfRNA_193,similarity
cfRNA_31,cfRNA_196,similarity
cfRNA_31,cfRNA_30,similarity
cfRNA_32,cfRNA_82,similarity
cfRNA_32,cfRNA_192,similarity
cfRNA_32,cfRNA_196,similarity
cfRNA_32,cfRNA_193,similarity
cfRNA_32,cfRNA_7,similarity
cfRNA_32,cfRNA_197,similarity
cfRNA_32,cfRNA_194,similarity
cfRNA_32,cfRNA_77,similarity
cfRNA_32,cfRNA_47,similarity
cfRNA_32,cfRNA_65,similarity
cfRNA_33,cfRNA_57,similarity
cfRNA_33,cfRNA_79,similarity
cfRNA_33,cfRNA_34,similarity
cfRNA_33,cfRNA_47,similarity
cfRNA_33,cfRNA_195,similarity
cfRNA_33,cfRNA_60,similarity
cfRNA_33,cfRNA_88,similarity
cfRNA_33,cfRNA_45,similarity
cfRNA_33,cfRNA_91,similarity
cfRNA_33,cfRNA_32,similarity
cfRNA_34,cfRNA_70,similarity
cfRNA_34,cfRNA_61,similarity
cfRNA_34,cfRNA_63,similarity
cfRNA_34,cfRNA_39,similarity
cfRNA_34,cfRNA_105,similarity
cfRNA_34,cfRNA_106,similarity
cfRNA_34,cfRNA_78,similarity
cfRNA_34,cfRNA_12,similarity
cfRNA_34,cfRNA_56,similarity
cfRNA_34,cfRNA_35,similarity
cfRNA_35,cfRNA_118,similarity
cfRNA_35,cfRNA_159,similarity
cfRNA_35,cfRNA_102,similarity
cfRNA_35,cfRNA_176,similarity
cfRNA_35,cfRNA_125,similarity
cfRNA_35,cfRNA_144,similarity
cfRNA_35,cfRNA_165,similarity
cfRNA_35,cfRNA_70,similarity
cfRNA_35,cfRNA_158,similarity
cfRNA_35,cfRNA_152,similarity
cfRNA_36,cfRNA_11,similarity
cfRNA_36,cfRNA_0,similarity
cfRNA_36,cfRNA_18,similarity
cfRNA_36,cfRNA_20,similarity
cfRNA_36,cfRNA_26,similarity
cfRNA_36,cfRNA_2,similarity
cfRNA_36,cfRNA_196,similarity
cfRNA_36,cfRNA_203,similarity
cfRNA_36,cfRNA_6,similarity
cfRNA_36,cfRNA_24,similarity
cfRNA_37,cfRNA_17,similarity
cfRNA_37,cfRNA_200,similarity
cfRNA_37,cfRNA_81,similarity
cfRNA_37,cfRNA_36,similarity
cfRNA_37,cfRNA_11,similarity
cfRNA_37,cfRNA_38,similarity
cfRNA_37,cfRNA_179,similarity
cfRNA_37,cfRNA_133,similarity
cfRNA_37,cfRNA_128,similarity
cfRNA_37,cfRNA_131,similarity
cfRNA_38,cfRNA_207,similarity
cfRNA_38,cfRNA_51,similarity
cfRNA_38,cfRNA_137,similarity
cfRNA_38,cfRNA_190,similarity
cfRNA_38,cfRNA_130,similarity
cfRNA_38,cfRNA_169,similarity
cfRNA_38,cfRNA_128,similarity
cfRNA_38,cfRNA_131,similarity
cfRNA_38,cfRNA_179,similarity
cfRNA_38,cfRNA_37,similarity
cfRNA_39,cfRNA_181,similarity
cfRNA_39,cfRNA_144,similarity
cfRNA_39,cfRNA_176,similarity
cfRNA_39,cfRNA_152,similarity
cfRNA_39,cfRNA_170,similarity
cfRNA_39,cfRNA_159,similarity
cfRNA_39,cfRNA_70,similarity
cfRNA_39,cfRNA_165,similarity
cfRNA_39,cfRNA_158,similarity
cfRNA_39,cfRNA_125,similarity
cfRNA_40,cfRNA_208,similarity
cfRNA_40,cfRNA_127,similarity
cfRNA_40,cfRNA_46,similarity
cfRNA_40,cfRNA_182,similarity
cfRNA_40,cfRNA_183,similarity
cfRNA_40,cfRNA_172,similarity
cfRNA_40,cfRNA_187,similarity
cfRNA_40,cfRNA_176,similarity
cfRNA_40,cfRNA_55,similarity
cfRNA_40,cfRNA_73,similarity
cfRNA_41,cfRNA_55,similarity
cfRNA_41,cfRNA_46,similarity
cfRNA_41,cfRNA_97,similarity
cfRNA_41,cfRNA_75,similarity
cfRNA_41,cfRNA_44,similarity
cfRNA_41,cfRNA_105,similarity
cfRNA_41,cfRNA_100,similarity
cfRNA_41,cfRNA_72,similarity
cfRNA_41,cfRNA_73,similarity
cfRNA_41,cfRNA_40,similarity
cfRNA_42,cfRNA_79,similarity
cfRNA_42,cfRNA_1,similarity
cfRNA_42,cfRNA_82,similarity
cfRNA_42,cfRNA_65,similarity
cfRNA_42,cfRNA_77,similarity
cfRNA_42,cfRNA_67,similarity
cfRNA_42,cfRNA_47,similarity
cfRNA_42,cfRNA_31,similarity
cfRNA_42,cfRNA_197,similarity
cfRNA_42,cfRNA_52,similarity
cfRNA_43,cfRNA_17,similarity
cfRNA_43,cfRNA_8,similarity
cfRNA_43,cfRNA_68,similarity
cfRNA_43,cfRNA_6,similarity
cfRNA_43,cfRNA_11,similarity
cfRNA_43,cfRNA_36,similarity
cfRNA_43,cfRNA_128,similarity
cfRNA_43,cfRNA_203,similarity
cfRNA_43,cfRNA_133,similarity
cfRNA_43,cfRNA_24,similarity
cfRNA_44,cfRNA_113,similarity
cfRNA_44,cfRNA_182,similarity
cfRNA_44,cfRNA_181,similarity
cfRNA_44,cfRNA_184,similarity
cfRNA_44,cfRNA_180,similarity
cfRNA_44,cfRNA_103,similarity
cfRNA_44,cfRNA_127,similarity
cfRNA_44,cfRNA_125,similarity
cfRNA_44,cfRNA_102,similarity
cfRNA_44,cfRNA_55,similarity
cfRNA_45,cfRNA_205,similarity
cfRNA_45,cfRNA_59,similarity
cfRNA_45,cfRNA_49,similarity
cfRNA_45,cfRNA_92,similarity
cfRNA_45,cfRNA_50,similarity
cfRNA_45,cfRNA_47,similarity
cfRNA_45,cfRNA_91,similarity
cfRNA_45,cfRNA_195,similarity
cfRNA_45,cfRNA_62,similarity
cfRNA_45,cfRNA_79,similarity
cfRNA_46,cfRNA_185,similarity
cfRNA_46,cfRNA_172,similarity
cfRNA_46,cfRNA_176,similarity
cfRNA_46,cfRNA_175,similarity
cfRNA_46,cfRNA_170,similarity
cfRNA_46,cfRNA_182,similarity
cfRNA_46,cfRNA_118,similarity
cfRNA_46,cfRNA_165,similarity
cfRNA_46,cfRNA_184,similarity
cfRNA_46,cfRNA_181,similarity
cfRNA_47,cfRNA_1,similarity
cfRNA_47,cfRNA_8,similarity
cfRNA_47,cfRNA_81,similarity
cfRNA_47,cfRNA_90,similarity
cfRNA_47,cfRNA_82,similarity
cfRNA_47,cfRNA_134,similarity
cfRNA_47,cfRNA_67,similarity
cfRNA_47,cfRNA_65,similarity
cfRNA_47,cfRNA_77,similarity
cfRNA_47,cfRNA_197,similarity
cfRNA_48,cfRNA_47,similarity
cfRNA_48,cfRNA_60,similarity
cfRNA_48,cfRNA_50,similarity
cfRNA_48,cfRNA_67,similarity
cfRNA_48,cfRNA_77,similarity
cfRNA_48,cfRNA_57,similarity
cfRNA_48,cfRNA_79,similarity
cfRNA_48,cfRNA_65,similarity
cfRNA_48,cfRNA_195,similarity
cfRNA_48,cfRNA_45,similarity
cfRNA_49,cfRNA_105,similarity
cfRNA_49,cfRNA_93,similarity
cfRNA_49,cfRNA_63,similarity
cfRNA_49,cfRNA_56,similarity
cfRNA_49,cfRNA_70,similarity
cfRNA_49,cfRNA_35,similarity
cfRNA_49,cfRNA_198,similarity
cfRNA_49,cfRNA_92,similarity
cfRNA_49,cfRNA_87,similarity
cfRNA_49,cfRNA_64,similarity
cfRNA_50,cfRNA_58,similarity
cfRNA_50,cfRNA_91,similarity
cfRNA_50,cfRNA_62,similarity
cfRNA_50,cfRNA_66,similarity
cfRNA_50,cfRNA_98,similarity
cfRNA_50,cfRNA_92,similarity
cfRNA_50,cfRNA_87,similarity
cfRNA_50,cfRNA_64,similarity
cfRNA_50,cfRNA_45,similarity
cfRNA_50,cfRNA_49,similarity
cfRNA_51,cfRNA_45,similarity
cfRNA_51,cfRNA_86,similarity
cfRNA_51,cfRNA_93,similarity
cfRNA_51,cfRNA_128,similarity
cfRNA_51,cfRNA_90,similarity
cfRNA_51,cfRNA_95,similarity
cfRNA_51,cfRNA_179,similarity
cfRNA_51,cfRNA_94,similarity
cfRNA_51,cfRNA_131,similarity
cfRNA_51,cfRNA_81,similarity
cfRNA_52,cfRNA_6,similarity
cfRNA_52,cfRNA_8,similarity
cfRNA_52,cfRNA_11,similarity
cfRNA_52,cfRNA_196,similarity
cfRNA_52,cfRNA_193,similarity
cfRNA_52,cfRNA_31,similarity
cfRNA_52,cfRNA_82,similarity
cfRNA_52,cfRNA_47,similarity
cfRNA_52,cfRNA_197,similarity
cfRNA_52,cfRNA_67,similarity
cfRNA_53,cfRNA_102,similarity
cfRNA_53,cfRNA_170,similarity
cfRNA_53,cfRNA_180,similarity
cfRNA_53,cfRNA_176,similarity
cfRNA_53,cfRNA_182,similarity
cfRNA_53,cfRNA_177,similarity
cfRNA_53,cfRNA_178,similarity
cfRNA_53,cfRNA_184,similarity
cfRNA_53,cfRNA_181,similarity
cfRNA_53,cfRNA_55,similarity
cfRNA_54,cfRNA_178,similarity
cfRNA_54,cfRNA_152,similarity
cfRNA_54,cfRNA_125,similarity
cfRNA_54,cfRNA_176,similarity
cfRNA_54,cfRNA_165,similarity
cfRNA_54,cfRNA_184,similarity
cfRNA_54,cfRNA_182,similarity
cfRNA_54,cfRNA_181,similarity
cfRNA_54,cfRNA_102,similarity
cfRNA_54,cfRNA_55,similarity
cfRNA_55,cfRNA_186,similarity
cfRNA_55,cfRNA_118,similarity
cfRNA_55,cfRNA_187,similarity
cfRNA_55,cfRNA_180,similarity
cfRNA_55,cfRNA_175,similarity
cfRNA_55,cfRNA_177,similarity
cfRNA_55,cfRNA_185,similarity
cfRNA_55,cfRNA_182,similarity
cfRNA_55,cfRNA_181,similarity
cfRNA_55,cfRNA_184,similarity
cfRNA_56,cfRNA_63,similarity
cfRNA_56,cfRNA_105,similarity
cfRNA_56,cfRNA_35,similarity
cfRNA_56,cfRNA_75,similarity
cfRNA_56,cfRNA_102,similarity
cfRNA_56,cfRNA_55,similarity
cfRNA_56,cfRNA_106,similarity
cfRNA_56,cfRNA_70,similarity
cfRNA_56,cfRNA_76,similarity
cfRNA_56,cfRNA_44,similarity
cfRNA_57,cfRNA_9,similarity
cfRNA_57,cfRNA_195,similarity
cfRNA_57,cfRNA_67,similarity
cfRNA_57,cfRNA_79,similarity
cfRNA_57,cfRNA_197,similarity
cfRNA_57,cfRNA_32,similarity
cfRNA_57,cfRNA_47,similarity
cfRNA_57,cfRNA_194,similarity
cfRNA_57,cfRNA_77,similarity
cfRNA_57,cfRNA_65,similarity
cfRNA_58,cfRNA_173,similarity
cfRNA_58,cfRNA_155,similarity
cfRNA_58,cfRNA_139,similarity
cfRNA_58,cfRNA_70,similarity
cfRNA_58,cfRNA_75,similarity
cfRNA_58,cfRNA_78,similarity
cfRNA_58,cfRNA_158,similarity
cfRNA_58,cfRNA_76,similarity
cfRNA_58,cfRNA_63,similarity
cfRNA_58,cfRNA_106,similarity
cfRNA_59,cfRNA_98,similarity
cfRNA_59,cfRNA_92,similarity
cfRNA_59,cfRNA_79,similarity
cfRNA_59,cfRNA_91,similarity
cfRNA_59,cfRNA_49,similarity
cfRNA_59,cfRNA_58,similarity
cfRNA_59,cfRNA_64,similarity
cfRNA_59,cfRNA_50,similarity
cfRNA_59,cfRNA_62,similarity
cfRNA_59,cfRNA_45,similarity
cfRNA_60,cfRNA_67,similarity
cfRNA_60,cfRNA_79,similarity
cfRNA_60,cfRNA_194,similarity
cfRNA_60,cfRNA_9,similarity
cfRNA_60,cfRNA_195,similarity
cfRNA_60,cfRNA_48,similarity
cfRNA_60,cfRNA_57,similarity
cfRNA_60,cfRNA_77,similarity
cfRNA_60,cfRNA_32,similarity
cfRNA_60,cfRNA_65,similarity
cfRNA_61,cfRNA_100,similarity
cfRNA_61,cfRNA_55,similarity
cfRNA_61,cfRNA_152,similarity
cfRNA_61,cfRNA_102,similarity
cfRNA_61,cfRNA_129,similarity
cfRNA_61,cfRNA_105,similarity
cfRNA_61,cfRNA_106,similarity
cfRNA_61,cfRNA_75,similarity
cfRNA_61,cfRNA_70,similarity
cfRNA_61,cfRNA_35,similarity
cfRNA_62,cfRNA_12,similarity
cfRNA_62,cfRNA_92,similarity
cfRNA_62,cfRNA_106,similarity
cfRNA_62,cfRNA_44,similarity
cfRNA_62,cfRNA_87,similarity
cfRNA_62,cfRNA_78,similarity
cfRNA_62,cfRNA_58,similarity
cfRNA_62,cfRNA_64,similarity
cfRNA_62,cfRNA_66,similarity
cfRNA_62,cfRNA_63,similarity
cfRNA_63,cfRNA_152,similarity
cfRNA_63,cfRNA_159,similarity
cfRNA_63,cfRNA_153,similarity
cfRNA_63,cfRNA_173,similarity
cfRNA_63,cfRNA_75,similarity
cfRNA_63,cfRNA_70,similarity
cfRNA_63,cfRNA_158,similarity
cfRNA_63,cfRNA_102,similarity
cfRNA_63,cfRNA_125,similarity
cfRNA_63,cfRNA_139,similarity
cfRNA_64,cfRNA_83,similarity
cfRNA_64,cfRNA_198,similarity
cfRNA_64,cfRNA_93,similarity
cfRNA_64,cfRNA_35,similarity
cfRNA_64,cfRNA_75,similarity
cfRNA_64,cfRNA_78,similarity
cfRNA_64,cfRNA_105,similarity
cfRNA_64,cfRNA_76,similarity
cfRNA_64,cfRNA_63,similarity
cfRNA_64,cfRNA_70,similarity
cfRNA_65,cfRNA_134,similarity
cfRNA_65,cfRNA_203,similarity
cfRNA_65,cfRNA_11,similarity
cfRNA_65,cfRNA_193,similarity
cfRNA_65,cfRNA_8,similarity
cfRNA_65,cfRNA_194,similarity
cfRNA_65,cfRNA_67,similarity
cfRNA_65,cfRNA_197,similarity
cfRNA_65,cfRNA_47,similarity
cfRNA_65,cfRNA_77,similarity
cfRNA_66,cfRNA_44,similarity
cfRNA_66,cfRNA_153,similarity
cfRNA_66,cfRNA_105,similarity
cfRNA_66,cfRNA_46,similarity
cfRNA_66,cfRNA_125,similarity
cfRNA_66,cfRNA_63,similarity
cfRNA_66,cfRNA_158,similarity
cfRNA_66,cfRNA_75,similarity
cfRNA_66,cfRNA_106,similarity
cfRNA_66,cfRNA_70,similarity
cfRNA_67,cfRNA_8,similarity
cfRNA_67,cfRNA_1,similarity
cfRNA_67,cfRNA_194,similarity
cfRNA_67,cfRNA_79,similarity
cfRNA_67,cfRNA_90,similarity
cfRNA_67,cfRNA_65,similarity
cfRNA_67,cfRNA_77,similarity
cfRNA_67,cfRNA_52,similarity
cfRNA_67,cfRNA_197,similarity
cfRNA_67,cfRNA_47,similarity
cfRNA_68,cfRNA_133,similarity
cfRNA_68,cfRNA_8,similarity
cfRNA_68,cfRNA_134,similarity
cfRNA_68,cfRNA_6,similarity
cfRNA_68,cfRNA_77,similarity
cfRNA_68,cfRNA_197,similarity
cfRNA_68,cfRNA_11,similarity
cfRNA_68,cfRNA_43,similarity
cfRNA_68,cfRNA_24,similarity
cfRNA_68,cfRNA_203,similarity
cfRNA_69,cfRNA_133,similarity
cfRNA_69,cfRNA_77,similarity
cfRNA_69,cfRNA_68,similarity
cfRNA_69,cfRNA_82,similarity
cfRNA_69,cfRNA_203,similarity
cfRNA_69,cfRNA_47,similarity
cfRNA_69,cfRNA_134,similarity
cfRNA_69,cfRNA_8,similarity
cfRNA_69,cfRNA_11,similarity
